"","source","no_rel","nbpc","year","date_deb","trait","lat","long","no_str","prof_moy","Tmp_fond","Sal_Fond","region","month","day","date","Label","bathymetry","Cfin_mg","Cgla_mg","Chyp_mg","temp","Cal_mg"
"25",16,15,39,2018,"2018-08-17",75,48.8285,-61.1061666666667,819,211,4.86,33.97,"NGSL","08",NA,2018-08-17,"45842",193.241302490234,3136.19263836156,1255.62518065652,10716.3009573346,"3C",15108.1187763527
"26",16,15,39,2018,"2018-08-17",78,48.8775,-60.8688333333333,830,149,2.87,33.32,"NGSL","08",NA,2018-08-17,"46077",147.548400878906,2402.04095423505,989.939573070029,6774.57108036871,"3C",10166.5516076738
"27",16,15,39,2018,"2018-08-17",81,48.9478333333333,-60.3666666666667,819,271,6.62,34.81,"NGSL","08",NA,2018-08-17,"46083",275.080505371094,2945.43688644091,1209.12532111407,8629.19378749483,"3C",12783.7559950498
"28",16,15,39,2018,"2018-08-18",84,49.497,-58.6281666666667,822,103,0.96,32.39,"NGSL","08",NA,2018-08-18,"47766",113.169799804688,1536.08468098354,633.478875669447,4560.32243562865,"3C",6729.88599228163
"29",16,15,39,2018,"2018-08-19",87,49.9818333333333,-57.837,836,51,2.06,31.61,"NGSL","08",NA,2018-08-19,"49386",47.517650604248,200.28763645585,106.482415773338,766.319867032113,"3C",1073.0899192613
"30",16,15,39,2018,"2018-08-19",90,50.5318333333333,-57.5828333333333,813,198,4.98,33.99,"NGSL","08",NA,2018-08-19,"50831",170.86149597168,2400.61005226895,1252.82921379153,12027.4573749778,"3C",15680.8966410382
"31",16,15,39,2018,"2018-08-20",93,50.9848333333333,-57.3683333333333,837,75,NA,NA,"NGSL","08",NA,2018-08-20,"51994",71.4635696411133,655.506077739418,677.995520095114,3435.43953026473,"3C",4768.94112809927
"32",16,15,39,2018,"2018-08-20",96,51.5838333333333,-56.1991666666667,838,70,-0.17,32.3,"NGSL","08",NA,2018-08-20,"53281",56.4141502380371,387.432215298672,479.023841541394,1635.51459526007,"3C",2501.97065210014
"33",16,15,39,2018,"2018-08-20",99,51.67,-56.3293333333333,838,76,0.39,32.13,"NGSL","08",NA,2018-08-20,"53453",68.0611877441406,687.579374057684,965.125782112396,6845.99821371662,"3C",8498.7033698867
"34",16,15,39,2018,"2018-08-21",102,51.1073333333333,-57.1968333333333,837,50,5.76,31.31,"NGSL","08",NA,2018-08-21,"52186",53.2577018737793,425.317884869267,493.162115917765,2488.29738351265,"3C",3406.77738429968
"35",16,15,39,2018,"2018-08-21",105,50.6376666666667,-57.8573333333333,824,156,3.4,33.5,"NGSL","08",NA,2018-08-21,"51222",135.165496826172,2060.55622691787,1623.81512596039,14324.7262081336,"3C",18009.0975610118
"36",16,15,39,2018,"2018-08-22",108,50.3013333333333,-58.3321666666667,801,332,6.62,34.59,"NGSL","08",NA,2018-08-22,"50418",293.340789794922,3256.86157509418,1591.15246068106,34455.6229479187,"3C",39303.636983694
"37",16,15,39,2018,"2018-08-22",111,50.301,-58.704,824,150,3.49,33.54,"NGSL","08",NA,2018-08-22,"50414",160.698501586914,2434.96377352194,1276.65315098926,13356.3944726841,"3C",17068.0113971953
